Season,Week,Team.Name,Team.1.Player,Team.1.Skill,Team.1.Archetype,Gauntlet,,Team.2.Archetype,Team.2.Skill,Team.2.Player,Wins,Losses,,For Matchup Table,Filtering by week
Season 3,Week 1,Odyssey,kcful,NA,Fur Hire,W,L,Masked Heroes,NA,Ace,1,0,,Fur HireMasked Heroes,
Season 3,Week 1,Odyssey,kcful,NA,Fur Hire,W,L,Fur Hire,NA,Ace,1,0,,Fur HireFur Hire,
Season 3,Week 1,Odyssey,kcful,NA,Fur Hire,L,W,Amazoness,NA,Nog,0,1,,,
Season 3,Week 1,Odyssey,Sterben,NA,Fur Hire,W,L,Amazoness,NA,Nog,1,0,,Fur HireAmazoness,
Season 3,Week 1,Odyssey,Sterben,NA,Fur Hire,W,L,Masked Heroes,NA,Nog,1,0,,Fur HireMasked Heroes,
Season 3,Week 1,Odyssey,Sterben,NA,Fur Hire,W,L,Spellbooks,NA,Xaphoon,1,0,,Fur HireSpellbooks,
Season 3,Week 1,Odyssey,Sterben,NA,Fur Hire,W,L,Masked Heroes,NA,Xaphoon,1,0,,Fur HireMasked Heroes,
Season 3,Week 1,Odyssey,Sterben,NA,Fur Hire,W,L,Amazoness,NA,Fufufu420,1,0,,Fur HireAmazoness,
Season 3,Week 1,Odyssey,Sterben,NA,Fur Hire,W,L,Fur Hire,NA,Fufufu420,1,0,,Fur HireFur Hire,
Season 3,Week 1,Creeping Death,Grucius,NA,Fur Hire,L,W,Masked Heroes,NA,Rivan,0,1,,,
Season 3,Week 1,Creeping Death,Grucius,NA,Amazoness,W,L,Masked Heroes,NA,Rivan,1,0,,AmazonessMasked Heroes,
Season 3,Week 1,Creeping Death,Grucius,NA,Amazoness,W,L,Fur Hire,NA,Rivan,1,0,,AmazonessFur Hire,
Season 3,Week 1,Creeping Death,Grucius,NA,Amazoness,W,L,Fur Hire,NA,Arian,1,0,,AmazonessFur Hire,
Season 3,Week 1,Creeping Death,Grucius,NA,Amazoness,W,L,Masked Heroes,NA,Arian,1,0,,AmazonessMasked Heroes,
Season 3,Week 1,Creeping Death,Grucius,NA,Amazoness,W,L,Fur Hire,NA,Pradius,1,0,,AmazonessFur Hire,
Season 3,Week 1,Creeping Death,Grucius,NA,Amazoness,W,L,Amazoness,NA,Pradius,1,0,,AmazonessAmazoness,
Season 3,Week 1,Creeping Death,Grucius,NA,Amazoness,W,L,Amazoness,NA,Midas,1,0,,AmazonessAmazoness,
Season 3,Week 1,Creeping Death,Grucius,NA,Amazoness,L,W,Fur Hire,NA,Midas,0,1,,,
Season 3,Week 1,Creeping Death,Mariamne,NA,Noble Knights,L,W,Fur Hire,NA,Midas,0,1,,,
Season 3,Week 1,Creeping Death,Mariamne,NA,Fur Hire,L,W,Fur Hire,NA,Midas,0,1,,,
Season 3,Week 1,Creeping Death,Yehhey,NA,Amazoness,W,L,Fur Hire,NA,Midas,1,0,,AmazonessFur Hire,
Season 3,Week 1,Creeping Death,Yehhey,NA,Amazoness,L,W,Amazoness,NA,C/C/C,0,1,,,
Season 3,Week 1,Creeping Death,Yehhey,NA,Fur Hire,W,L,Amazoness,NA,C/C/C,1,0,,Fur HireAmazoness,
Season 3,Week 1,Creeping Death,Yehhey,NA,Fur Hire,L,W,Masked Heroes,NA,C/C/C,0,1,,,
Season 3,Week 1,Creeping Death,Betrayal,NA,Amazoness,W,L,Masked Heroes,NA,C/C/C,1,0,,AmazonessMasked Heroes,
Season 3,Week 1,Nusantara Warriors,Rivan,NA,Masked Heroes,W,L,Fur Hire,NA,Grucius,1,0,,Masked HeroesFur Hire,
Season 3,Week 1,Nusantara Warriors,Rivan,NA,Masked Heroes,L,W,Amazoness,NA,Grucius,0,1,,,
Season 3,Week 1,Nusantara Warriors,Rivan,NA,Fur Hire,L,W,Amazoness,NA,Grucius,0,1,,,
Season 3,Week 1,Nusantara Warriors,Arian,NA,Fur Hire,L,W,Amazoness,NA,Grucius,0,1,,,
Season 3,Week 1,Nusantara Warriors,Arian,NA,Masked Heroes,L,W,Amazoness,NA,Grucius,0,1,,,
Season 3,Week 1,Nusantara Warriors,Pradius,NA,Fur Hire,L,W,Amazoness,NA,Grucius,0,1,,,
Season 3,Week 1,Nusantara Warriors,Pradius,NA,Amazoness,L,W,Amazoness,NA,Grucius,0,1,,,
Season 3,Week 1,Nusantara Warriors,Midas,NA,Amazoness,L,W,Amazoness,NA,Grucius,0,1,,,
Season 3,Week 1,Nusantara Warriors,Midas,NA,Fur Hire,W,L,Amazoness,NA,Grucius,1,0,,Fur HireAmazoness,
Season 3,Week 1,Nusantara Warriors,Midas,NA,Fur Hire,W,L,Noble Knights,NA,Mariamne,1,0,,Fur HireNoble Knights,
Season 3,Week 1,Nusantara Warriors,Midas,NA,Fur Hire,W,L,Fur Hire,NA,Mariamne,1,0,,Fur HireFur Hire,
Season 3,Week 1,Nusantara Warriors,Midas,NA,Fur Hire,L,W,Amazoness,NA,Yehhey,0,1,,,
Season 3,Week 1,Nusantara Warriors,C/C/C,NA,Amazoness,W,L,Amazoness,NA,Yehhey,1,0,,AmazonessAmazoness,
Season 3,Week 1,Nusantara Warriors,C/C/C,NA,Amazoness,L,W,Fur Hire,NA,Yehhey,0,1,,,
Season 3,Week 1,Nusantara Warriors,C/C/C,NA,Masked Heroes,W,L,Fur Hire,NA,Yehhey,1,0,,Masked HeroesFur Hire,
Season 3,Week 1,Nusantara Warriors,C/C/C,NA,Masked Heroes,L,W,Amazoness,NA,Betrayal,0,1,,,
Season 3,Week 1,Three Kings,All Day,NA,Fur Hire,W,L,Fur Hire,NA,Diarerpe,1,0,,Fur HireFur Hire,
Season 3,Week 1,Three Kings,All Day,NA,Fur Hire,W,L,Amazoness,NA,Diarerpe,1,0,,Fur HireAmazoness,
Season 3,Week 1,Three Kings,All Day,NA,Fur Hire,W,L,Amazoness,NA,zMotekar,1,0,,Fur HireAmazoness,
Season 3,Week 1,Three Kings,All Day,NA,Fur Hire,L,W,SM Spellbooks,NA,zMotekar,0,1,,,
Season 3,Week 1,Three Kings,All Day,NA,Fur Hire,L,W,SM Spellbooks,NA,zMotekar,0,1,,,
Season 3,Week 1,Three Kings,AdoboBoy,NA,Fur Hire,W,L,SM Spellbooks,NA,zMotekar,1,0,,Fur HireSM Spellbooks,
Season 3,Week 1,Three Kings,AdoboBoy,NA,Fur Hire,L,W,Fur Hire,NA,Khareem,0,1,,,
Season 3,Week 1,Three Kings,AdoboBoy,NA,Fur Hire,W,L,Fur Hire,NA,Khareem,1,0,,Fur HireFur Hire,
Season 3,Week 1,Three Kings,AdoboBoy,NA,Fur Hire,W,L,Amazoness,NA,Khareem,1,0,,Fur HireAmazoness,
Season 3,Week 1,Three Kings,AdoboBoy,NA,Fur Hire,W,L,Masked Heroes,NA,Medallion,1,0,,Fur HireMasked Heroes,
Season 3,Week 1,Three Kings,AdoboBoy,NA,Fur Hire,L,W,Fur Hire,NA,Medallion,0,1,,,
Season 3,Week 1,Three Kings,Serenity,NA,Fur Hire,W,L,Fur Hire,NA,Medallion,1,0,,Fur HireFur Hire,
Season 3,Week 1,Three Kings,Serenity,NA,Fur Hire,L,W,Fur Hire,NA,zRayzen,0,1,,,
Season 3,Week 1,Three Kings,Serenity,NA,Fur Hire,W,L,Fur Hire,NA,zRayzen,1,0,,Fur HireFur Hire,
Season 3,Week 1,Three Kings,Serenity,NA,Fur Hire,L,W,Masked Heroes,NA,zRayzen,0,1,,,
Season 3,Week 1,Three Kings,Kayoh,NA,Fur Hire,L,W,Masked Heroes,NA,zRayzen,0,1,,,
Season 3,Week 1,Three Kings,Kayoh,NA,Fur Hire,W,L,Masked Heroes,NA,zRayzen,1,0,,Fur HireMasked Heroes,
Season 3,Week 1,Garuda,Diarerpe,NA,Fur Hire,L,W,Fur Hire,NA,All Day,0,1,,,
Season 3,Week 1,Garuda,Diarerpe,NA,Amazoness,L,W,Fur Hire,NA,All Day,0,1,,,
Season 3,Week 1,Garuda,zMotekar,NA,Amazoness,L,W,Fur Hire,NA,All Day,0,1,,,
Season 3,Week 1,Garuda,zMotekar,NA,SM Spellbooks,W,L,Fur Hire,NA,All Day,1,0,,SM SpellbooksFur Hire,
Season 3,Week 1,Garuda,zMotekar,NA,SM Spellbooks,W,L,Fur Hire,NA,All Day,1,0,,SM SpellbooksFur Hire,
Season 3,Week 1,Garuda,zMotekar,NA,SM Spellbooks,L,W,Fur Hire,NA,AdoboBoy,0,1,,,
Season 3,Week 1,Garuda,Khareem,NA,Fur Hire,W,L,Fur Hire,NA,AdoboBoy,1,0,,Fur HireFur Hire,
Season 3,Week 1,Garuda,Khareem,NA,Fur Hire,L,W,Fur Hire,NA,AdoboBoy,0,1,,,
Season 3,Week 1,Garuda,Khareem,NA,Amazoness,L,W,Fur Hire,NA,AdoboBoy,0,1,,,
Season 3,Week 1,Garuda,Medallion,NA,Masked Heroes,L,W,Fur Hire,NA,AdoboBoy,0,1,,,
Season 3,Week 1,Garuda,Medallion,NA,Fur Hire,W,L,Fur Hire,NA,AdoboBoy,1,0,,Fur HireFur Hire,
Season 3,Week 1,Garuda,Medallion,NA,Fur Hire,L,W,Fur Hire,NA,Serenity,0,1,,,
Season 3,Week 1,Garuda,zRayzen,NA,Fur Hire,W,L,Fur Hire,NA,Serenity,1,0,,Fur HireFur Hire,
Season 3,Week 1,Garuda,zRayzen,NA,Fur Hire,L,W,Fur Hire,NA,Serenity,0,1,,,
Season 3,Week 1,Garuda,zRayzen,NA,Masked Heroes,W,L,Fur Hire,NA,Serenity,1,0,,Masked HeroesFur Hire,
Season 3,Week 1,Garuda,zRayzen,NA,Masked Heroes,W,L,Fur Hire,NA,Kayoh,1,0,,Masked HeroesFur Hire,
Season 3,Week 1,Garuda,zRayzen,NA,Masked Heroes,L,W,Fur Hire,NA,Kayoh,0,1,,,
Season 3,Week 1,Forbidden Ones,HidekiBro,NA,Masked Heroes,L,W,Masked Heroes,NA,DennisEG,0,1,,,
Season 3,Week 1,Forbidden Ones,HidekiBro,NA,Fur Hire,L,W,Masked Heroes,NA,DennisEG,0,1,,,
Season 3,Week 1,Forbidden Ones,Black Jesus,NA,Amazoness,W,L,Masked Heroes,NA,DennisEG,1,0,,AmazonessMasked Heroes,
Season 3,Week 1,Forbidden Ones,Black Jesus,NA,Amazoness,L,W,Amazoness,NA,DennisEG,0,1,,,
Season 3,Week 1,Forbidden Ones,BlackJesus,NA,Fur Hire,L,W,Amazoness,NA,DennisEG,0,1,,,
Season 3,Week 1,Forbidden Ones,Tomvdelzen,NA,Fur Hire,W,L,Amazoness,NA,DennisEG,1,0,,Fur HireAmazoness,
Season 3,Week 1,Forbidden Ones,Tomvdelzen,NA,Fur Hire,W,L,Fur Hire,NA,xElementx,1,0,,Fur HireFur Hire,
Season 3,Week 1,Forbidden Ones,Tomvdelzen,NA,Fur Hire,L,W,Fur Hire,NA,xElementx,0,1,,,
Season 3,Week 1,Forbidden Ones,Tomvdelzen,NA,Spellbooks,W,L,Fur Hire,NA,xElementx,1,0,,SpellbooksFur Hire,
Season 3,Week 1,Forbidden Ones,Tomvdelzen,NA,SM Spellbooks,W,L,Fur Hire,NA,Davidoff,1,0,,SM SpellbooksFur Hire,
Season 3,Week 1,Forbidden Ones,Tomvdelzen,NA,SM Spellbooks,L,W,Masked Heroes,NA,Davidoff,0,1,,,
Season 3,Week 1,Forbidden Ones,Tomvdelzen,NA,SM Spellbooks,W,L,Masked Heroes,NA,HegelianBoi,1,0,,SM SpellbooksMasked Heroes,
Season 3,Week 1,Forbidden Ones,MiguelJoker,NA,Masked Heroes,W,L,Masked Heroes,NA,Davidoff,1,0,,Masked HeroesMasked Heroes,
Season 3,Week 1,Forbidden Ones,Miguel Joker,NA,Masked Heroes,L,W,Amazoness,NA,HegelianBoi,0,1,,,
Season 3,Week 1,Forbidden Ones,Miguel Joker,NA,Fur Hire,L,W,Amazoness,NA,HegelianBoi,0,1,,,
Season 3,Week 1,Forbidden Ones,DjChannel,NA,Amazoness,W,L,Amazoness,NA,HegelianBoi,1,0,,AmazonessAmazoness,
Season 3,Week 1,Forbidden Ones,DjChannel,NA,Amazoness,L,W,Amazoness,NA,Yasser,0,1,,,
Season 3,Week 1,Forbidden Ones,DjChannel,NA,Masked Heroes,L,W,Amazoness,NA,Yasser,0,1,,,
Season 3,Week 1,Sun Clan,DennisEG,NA,Masked Heroes,W,L,Masked Heroes,NA,HidekiBro,1,0,,Masked HeroesMasked Heroes,
Season 3,Week 1,Sun Clan,DennisEG,NA,Masked Heroes,W,L,Fur Hire,NA,HidekiBro,1,0,,Masked HeroesFur Hire,
Season 3,Week 1,Sun Clan,DennisEG,NA,Masked Heroes,L,W,Amazoness,NA,Black Jesus,0,1,,,
Season 3,Week 1,Sun Clan,DennisEG,NA,Amazoness,W,L,Amazoness,NA,Black Jesus,1,0,,AmazonessAmazoness,
Season 3,Week 1,Sun Clan,DennisEG,NA,Amazoness,W,L,Fur Hire,NA,BlackJesus,1,0,,AmazonessFur Hire,
Season 3,Week 1,Sun Clan,DennisEG,NA,Amazoness,L,W,Fur Hire,NA,Tomvdelzen,0,1,,,
Season 3,Week 1,Sun Clan,xElementx,NA,Fur Hire,L,W,Fur Hire,NA,Tomvdelzen,0,1,,,
Season 3,Week 1,Sun Clan,xElementx,NA,Fur Hire,W,L,Fur Hire,NA,Tomvdelzen,1,0,,Fur HireFur Hire,
Season 3,Week 1,Sun Clan,xElementx,NA,Fur Hire,L,W,Spellbooks,NA,Tomvdelzen,0,1,,,
Season 3,Week 1,Sun Clan,Davidoff,NA,Fur Hire,L,W,SM Spellbooks,NA,Tomvdelzen,0,1,,,
Season 3,Week 1,Sun Clan,Davidoff,NA,Masked Heroes,W,L,SM Spellbooks,NA,Tomvdelzen,1,0,,Masked HeroesSM Spellbooks,
Season 3,Week 1,Sun Clan,HegelianBoi,NA,Masked Heroes,L,W,SM Spellbooks,NA,Tomvdelzen,0,1,,,
Season 3,Week 1,Sun Clan,Davidoff,NA,Masked Heroes,L,W,Masked Heroes,NA,MiguelJoker,0,1,,,
Season 3,Week 1,Sun Clan,HegelianBoi,NA,Amazoness,W,L,Masked Heroes,NA,Miguel Joker,1,0,,AmazonessMasked Heroes,
Season 3,Week 1,Sun Clan,HegelianBoi,NA,Amazoness,W,L,Fur Hire,NA,Miguel Joker,1,0,,AmazonessFur Hire,
Season 3,Week 1,Sun Clan,HegelianBoi,NA,Amazoness,L,W,Amazoness,NA,DjChannel,0,1,,,
Season 3,Week 1,Sun Clan,Yasser,NA,Amazoness,W,L,Amazoness,NA,DjChannel,1,0,,AmazonessAmazoness,
Season 3,Week 1,Sun Clan,Yasser,NA,Amazoness,W,L,Masked Heroes,NA,DjChannel,1,0,,AmazonessMasked Heroes,
Season 3,Week 1,Academy of Duel Links,Killerscorp942,NA,Fur Hire,L,W,Masked Heroes,NA,Mark,0,1,,,
Season 3,Week 1,Academy of Duel Links,Killerscorp942,NA,Masked Heroes,W,L,Masked Heroes,NA,Mark,1,0,,Masked HeroesMasked Heroes,
Season 3,Week 1,Academy of Duel Links,Killerscorp942,NA,Masked Heroes,L,W,Amazoness,NA,Mark,0,1,,,
Season 3,Week 1,Academy of Duel Links,0sincara,NA,Masked Heroes,L,W,Amazoness,NA,Mark,0,1,,,
Season 3,Week 1,Academy of Duel Links,0sincara,NA,Fur Hire,L,W,Amazoness,NA,Mark,0,1,,,
Season 3,Week 1,Academy of Duel Links,LilJimmy,NA,Masked Heroes,L,W,Amazoness,NA,Mark,0,1,,,
Season 3,Week 1,Academy of Duel Links,LilJimmy,NA,Amazoness,W,L,Amazoness,NA,Mark,1,0,,AmazonessAmazoness,
Season 3,Week 1,Academy of Duel Links,LilJimmy,NA,Amazoness,L,W,Geargia,NA,Mixed_Master7,0,1,,,
Season 3,Week 1,Academy of Duel Links,Mismag,NA,Fur Hire,W,L,Geargia,NA,Mixed_Master7,1,0,,Fur HireGeargia,
Season 3,Week 1,Academy of Duel Links,Mismag,NA,Fur Hire,L,W,Fur Hire,NA,Mixed_Master7,0,1,,,
Season 3,Week 1,Academy of Duel Links,Mismag,NA,Amazoness,L,W,Fur Hire,NA,Mixed_Master7,0,1,,,
Season 3,Week 1,Academy of Duel Links,zzmondo,NA,Hazy Flame,L,W,Fur Hire,NA,Mixed_Master7,0,1,,,
Season 3,Week 1,Academy of Duel Links,zzmondo,NA,Masked Heroes,W,L,Fur Hire,NA,Mixed_Master7,1,0,,Masked HeroesFur Hire,
Season 3,Week 1,Academy of Duel Links,zzmondo,NA,Masked Heroes,W,L,Amazoness,NA,AloeVera,1,0,,Masked HeroesAmazoness,
Season 3,Week 1,Academy of Duel Links,zzmondo,NA,Masked Heroes,W,L,Fur Hire,NA,AloeVera,1,0,,Masked HeroesFur Hire,
Season 3,Week 1,Academy of Duel Links,zzmondo,NA,Masked Heroes,L,W,Amazoness,NA,SoulSur,0,1,,,
Season 3,Week 1,The Usual Suspects,Mark,NA,Masked Heroes,W,L,Fur Hire,NA,Killerscorp942,1,0,,Masked HeroesFur Hire,
Season 3,Week 1,The Usual Suspects,Mark,NA,Masked Heroes,L,W,Masked Heroes,NA,Killerscorp942,0,1,,,
Season 3,Week 1,The Usual Suspects,Mark,NA,Amazoness,W,L,Masked Heroes,NA,Killerscorp942,1,0,,AmazonessMasked Heroes,
Season 3,Week 1,The Usual Suspects,Mark,NA,Amazoness,W,L,Masked Heroes,NA,0sincara,1,0,,AmazonessMasked Heroes,
Season 3,Week 1,The Usual Suspects,Mark,NA,Amazoness,W,L,Fur Hire,NA,0sincara,1,0,,AmazonessFur Hire,
Season 3,Week 1,The Usual Suspects,Mark,NA,Amazoness,W,L,Masked Heroes,NA,LilJimmy,1,0,,AmazonessMasked Heroes,
Season 3,Week 1,The Usual Suspects,Mark,NA,Amazoness,L,W,Amazoness,NA,LilJimmy,0,1,,,
Season 3,Week 1,The Usual Suspects,Mixed_Master7,NA,Geargia,W,L,Amazoness,NA,LilJimmy,1,0,,GeargiaAmazoness,
Season 3,Week 1,The Usual Suspects,Mixed_Master7,NA,Geargia,L,W,Fur Hire,NA,Mismag,0,1,,,
Season 3,Week 1,The Usual Suspects,Mixed_Master7,NA,Fur Hire,W,L,Fur Hire,NA,Mismag,1,0,,Fur HireFur Hire,
Season 3,Week 1,The Usual Suspects,Mixed_Master7,NA,Fur Hire,W,L,Amazoness,NA,Mismag,1,0,,Fur HireAmazoness,
Season 3,Week 1,The Usual Suspects,Mixed_Master7,NA,Fur Hire,W,L,Hazy Flame,NA,zzmondo,1,0,,Fur HireHazy Flame,
Season 3,Week 1,The Usual Suspects,Mixed_Master7,NA,Fur Hire,L,W,Masked Heroes,NA,zzmondo,0,1,,,
Season 3,Week 1,The Usual Suspects,AloeVera,NA,Amazoness,L,W,Masked Heroes,NA,zzmondo,0,1,,,
Season 3,Week 1,The Usual Suspects,AloeVera,NA,Fur Hire,L,W,Masked Heroes,NA,zzmondo,0,1,,,
Season 3,Week 1,The Usual Suspects,SoulSur,NA,Amazoness,W,L,Masked Heroes,NA,zzmondo,1,0,,AmazonessMasked Heroes,
Season 3,Week 1,Abusement Park,Tenma,NA,Masked Heroes,W,L,Fur Hire,NA,Stevie,1,0,,Masked HeroesFur Hire,
Season 3,Week 1,Abusement Park,Tenma,NA,Masked Heroes,W,L,Amazoness,NA,Stevie,1,0,,Masked HeroesAmazoness,
Season 3,Week 1,Abusement Park,Tenma,NA,Masked Heroes,L,W,Fur Hire,NA,ClashBruh,0,1,,,
Season 3,Week 1,Abusement Park,Tenma,NA,Amazoness,L,W,Fur Hire,NA,ClashBruh,0,1,,,
Season 3,Week 1,Abusement Park,INTeJer,NA,Amazoness,L,W,Fur Hire,NA,ClashBruh,0,1,,,
Season 3,Week 1,Abusement Park,INTeJer,NA,Fur Hire,L,W,Fur Hire,NA,ClashBruh,0,1,,,
Season 3,Week 1,Abusement Park,CalmRooster,NA,Amazoness,L,W,Fur Hire,NA,Clash Bruh,0,1,,,
Season 3,Week 1,Abusement Park,CalmRooster,NA,Fur Hire,L,W,Fur Hire,NA,Clash Bruh,0,1,,,
Season 3,Week 1,Abusement Park,Rare,NA,Masked Heroes,W,L,Fur Hire,NA,Clash Bruh,1,0,,Masked HeroesFur Hire,
Season 3,Week 1,Abusement Park,Rare,NA,Masked Heroes,L,W,Amazoness,NA,Clash Bruh,0,1,,,
Season 3,Week 1,Abusement Park,Rare,NA,Fur Hire,W,L,Amazoness,NA,Clash Bruh,1,0,,Fur HireAmazoness,
Season 3,Week 1,Abusement Park,Rare,NA,Fur Hire,W,L,Fur Hire,NA,Lord Arkthor,1,0,,Fur HireFur Hire,
Season 3,Week 1,Abusement Park,Rare,NA,Fur Hire,L,W,Fur Hire,NA,Lord Arkthor,0,1,,,
Season 3,Week 1,Abusement Park,TheEgg69,NA,Amazoness,W,L,Fur Hire,NA,Lord Arkthor,1,0,,AmazonessFur Hire,
Season 3,Week 1,Abusement Park,TheEgg69,NA,Amazoness,L,W,Masked Heroes,NA,Shaowz,0,1,,,
Season 3,Week 1,Abusement Park,TheEgg69,NA,Geargia,W,L,Masked Heroes,NA,Shaowz,1,0,,GeargiaMasked Heroes,
Season 3,Week 1,Abusement Park,TheEgg69,NA,Geargia,W,L,Fur Hire,NA,Shaowz,1,0,,GeargiaFur Hire,
Season 3,Week 1,Abusement Park,TheEgg69,NA,Geargia,L,W,Fur Hire,NA,Jayrabian,0,1,,,
Season 3,Week 1,BlessRNG,Stevie,NA,Fur Hire,L,W,Masked Heroes,NA,Tenma,0,1,,,
Season 3,Week 1,BlessRNG,Stevie,NA,Amazoness,L,W,Masked Heroes,NA,Tenma,0,1,,,
Season 3,Week 1,BlessRNG,ClashBruh,NA,Fur Hire,W,L,Masked Heroes,NA,Tenma,1,0,,Fur HireMasked Heroes,
Season 3,Week 1,BlessRNG,ClashBruh,NA,Fur Hire,W,L,Amazoness,NA,Tenma,1,0,,Fur HireAmazoness,
Season 3,Week 1,BlessRNG,ClashBruh,NA,Fur Hire,W,L,Amazoness,NA,INTeJer,1,0,,Fur HireAmazoness,
Season 3,Week 1,BlessRNG,ClashBruh,NA,Fur Hire,W,L,Fur Hire,NA,INTeJer,1,0,,Fur HireFur Hire,
Season 3,Week 1,BlessRNG,Clash Bruh,NA,Fur Hire,W,L,Amazoness,NA,CalmRooster,1,0,,Fur HireAmazoness,
Season 3,Week 1,BlessRNG,Clash Bruh,NA,Fur Hire,W,L,Fur Hire,NA,CalmRooster,1,0,,Fur HireFur Hire,
Season 3,Week 1,BlessRNG,Clash Bruh,NA,Fur Hire,L,W,Masked Heroes,NA,Rare,0,1,,,
Season 3,Week 1,BlessRNG,Clash Bruh,NA,Amazoness,W,L,Masked Heroes,NA,Rare,1,0,,AmazonessMasked Heroes,
Season 3,Week 1,BlessRNG,Clash Bruh,NA,Amazoness,L,W,Fur Hire,NA,Rare,0,1,,,
Season 3,Week 1,BlessRNG,Lord Arkthor,NA,Fur Hire,L,W,Fur Hire,NA,Rare,0,1,,,
Season 3,Week 1,BlessRNG,Lord Arkthor,NA,Fur Hire,W,L,Fur Hire,NA,Rare,1,0,,Fur HireFur Hire,
Season 3,Week 1,BlessRNG,Lord Arkthor,NA,Fur Hire,L,W,Amazoness,NA,TheEgg69,0,1,,,
Season 3,Week 1,BlessRNG,Shaowz,NA,Masked Heroes,W,L,Amazoness,NA,TheEgg69,1,0,,Masked HeroesAmazoness,
Season 3,Week 1,BlessRNG,Shaowz,NA,Masked Heroes,L,W,Geargia,NA,TheEgg69,0,1,,,
Season 3,Week 1,BlessRNG,Shaowz,NA,Fur Hire,L,W,Geargia,NA,TheEgg69,0,1,,,
Season 3,Week 1,BlessRNG,Jayrabian,NA,Fur Hire,W,L,Geargia,NA,TheEgg69,1,0,,Fur HireGeargia,
Season 3,Week 1,Bricks and Potatoes,SelectMaple,NA,Fur Hire,W,L,Fur Hire,NA,RSVP,1,0,,Fur HireFur Hire,
Season 3,Week 1,Bricks and Potatoes,SelectMaple,NA,Fur Hire,L,W,Masked Heroes,NA,RSVP,0,1,,,
Season 3,Week 1,Bricks and Potatoes,SelectMaple,NA,Amazoness,L,W,Masked Heroes,NA,RSVP,0,1,,,
Season 3,Week 1,Bricks and Potatoes,ShinySopheon,NA,Amazoness,W,L,Masked Heroes,NA,RSVP,1,0,,AmazonessMasked Heroes,
Season 3,Week 1,Bricks and Potatoes,ShinySopheon,NA,Amazoness,L,W,Amazoness,NA,WCA_Prodigy,0,1,,,
Season 3,Week 1,Bricks and Potatoes,ShinySopheon,NA,Fur Hire,W,L,Amazoness,NA,WCA_Prodigy,1,0,,Fur HireAmazoness,
Season 3,Week 1,Bricks and Potatoes,ShinySopheon,NA,Fur Hire,W,L,Masked Heroes,NA,WCA_Prodigy,1,0,,Fur HireMasked Heroes,
Season 3,Week 1,Bricks and Potatoes,ShinySopheon,NA,Fur Hire,W,L,Masked Heroes,NA,EJPanda,1,0,,Fur HireMasked Heroes,
Season 3,Week 1,Bricks and Potatoes,ShinySopheon,NA,Fur Hire,W,L,Fur Hire,NA,EJPanda,1,0,,Fur HireFur Hire,
Season 3,Week 1,Bricks and Potatoes,ShinySopheon,NA,Fur Hire,L,W,Amazoness,NA,ASAP,0,1,,,
